Episode: 1x12 - The One with the Dozen Lasagnas
Chunk: chunk_00023
Subtitles: Yes. And that would be a shutdown. [IN UNISON] Shutout! Where you guys going? Come on, one more game. - Oh. It's 2:30 in the morning. - Yeah. Get out. You guys are always hanging out in my apartment. Come on, I'll only use my left hand, huh? Come on, wussies. - All right. Okay. I gotta go. - Mm-hm. I'm going. And I'm gone. - One more game? - Oh, yeah.

### **SCENE SETTING:**
Monica’s apartment kitchen/living area — late evening, warm artificial lighting from lamps and overhead fixtures.

### **CHARACTERS PRESENT:**
Ross Geller: dark-colored sweater - unclear lower clothing - dark, short hair - expression shifts from surprised to serious
Monica Geller: dark-colored sweater - dark pants - dark, shoulder-length hair - animated, smiling expression
Chandler Bing: dark-colored shirt - unclear lower clothing - dark, medium-length hair - expression shifts from concerned to relaxed
Joey Tribbiani: plaid robe over white shirt - unclear lower clothing - dark, medium-length hair - expression shifts from serious to relaxed

### **ACTIONS AND INTERACTIONS:**
Monica and Joey are playing foosball, with Monica gesturing animatedly while speaking. Ross stands nearby, looking on with a serious expression. Chandler stands beside Joey, reacting to the conversation. Monica turns and gestures toward the door as she speaks, then turns back to the foosball table. Joey and Chandler react to Monica’s comments, with Joey appearing to be speaking or responding. The group is engaged in a lively conversation while playing the game.

### **OBJECTS AND PROPS:**
Foosball table (center of frame)
Refrigerator (with magnets) (background)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (on wall)
Bulky lamp (
